"date_rec","device_id","_faultCount","_cloudConnected","UnitSt","UnitMode","UnitAlm1","UnitFlt1","UnitFlt2","UnitFlt3","UnitDiags","kWin","kVArin","kWcalc","kVArcalc","kWout","kVArout","DCIin","DCIout","OutVin","OutFin","OutVout","OutFout","DisMax","ChMax","DisCost","ChCost","TmpRet","TmpSup","TmpAmb","TmpEnc1","TmpEnc2","TmpEnc3","TmpEnc4","EncHumidity","PcsSt","PcsCmd","DCAOut","DCVOut","ACA","AphA","AphB","AphC","PPVphAB","PPVphBC","PPVphCA","PhVphA","PhVphB","PhVphC","kW","Hz","kVAr","kWH","kWHC","kWHD","DCA","DCV","DCkW","TmpCab","TmpSnk","PcsStVnd","PcsEvtVnd1","PcsEvtVnd2","PcsEvtVnd3","PcsEvtVnd4","PcsEvtVnd5","PcsEvtVnd6","PcsEvtVnd7","PcsEvtVnd8","BattStVnd","BattSt","BattCmd","BattV","BattP","BattA","SoC","SoCOnline","SOE","SOEOnline","SoH","BattAChLmt","BattADisLmt","BattPChLmt","BattPDisLmt","BattPChLmtEMS","BattPDisLmtEMS","BatEvtVnd1","BatEvtVnd2","BatEvtVnd3","BatEvtVnd4","BatEvtVnd5","BatEvtVnd6","BatEvtVnd7","BatEvtVnd8","CellVMax","CellVMin","CellVAvg","ModTmpMax","ModTmpMin","ModTmpAvg","BattStopReq","DCIR","_ConnStr","_EnabledStr","_TotalStr","_PcsAlmActive","_BattAlmActive","_StrAlmActive","_RunningPcsCnt","_TotalPcs","_RunningHVACCnt","_TotalHVAC","_UnitType","_StrEnergy","_UnitSRating","_UnitE","_QMax","_QMin","_HVACInhibitCnt","_ExhaustCnt","_StrSocDelta","_StrSocStdDev","_StrVDelta","_StrVDeltaOnline","_emcu1St","_emcu3St","_emcu5St","_emcu0St","_emcu2St","_emcu4St","_bms1St","_bms0St","_TotBusbarPDisLmt","_TotBusbarPChLmt","_bias_err","_BusbarPcmds.0","_BusbarPcmds.1","_CusRole","_GenSel","_CurrFlt","_FltMod","_CurrWrn","_StartCondAll","_ACSw","_MVSw","_MVGenSw","_MVEarthSw","_MVFbErr","_PcsPModeVnd","_PcsQModeVnd","_SelModkWh","_SelModkVArh","_kVArh","_CommsTimeout","_HB","PcsEvtVnd9","PcsEvtVnd10","PcsEvtVnd11","PcsEvtVnd12","PcsEvtVnd13","PcsEvtVnd14","PcsEvtVnd15","PcsEvtVnd16","PcsEvtVnd17","_ACIR","_CustomBusbarPLmts.0.busbar_dis_limit","_CustomBusbarPLmts.0.busbar_ch_limit","_CustomBusbarPLmts.0.subbms_dis_limit","_CustomBusbarPLmts.0.subbms_ch_limit","_CustomBusbarPLmts.0.gain_param_val","_CustomBusbarPLmts.0.running","_CustomBusbarPLmts.0.busbar_delta_gain","_CustomBusbarPLmts.0.final_dis_limit","_CustomBusbarPLmts.0.final_ch_limit","_CustomBusbarPLmts.1.busbar_dis_limit","_CustomBusbarPLmts.1.busbar_ch_limit","_CustomBusbarPLmts.1.subbms_dis_limit","_CustomBusbarPLmts.1.subbms_ch_limit","_CustomBusbarPLmts.1.gain_param_val","_CustomBusbarPLmts.1.running","_CustomBusbarPLmts.1.busbar_delta_gain","_CustomBusbarPLmts.1.final_dis_limit","_CustomBusbarPLmts.1.final_ch_limit"
"2025-09-17T00:00:00Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,93.36,,,-1600,93.91,0,0,,,,,3630,-3750,0.665,1.435,,,,37,,,,,2,,,,27,26.8,27.8,26.4,34700,34500,34400,,,,-1626,60.0066,103,4961232,5420861,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159.9,-1650.54,-1423,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.41,3.38,3.391,28,25,25.334,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37142,0,0,0,0,0,0,0,0,0,700.303,2097.48,2097.48,1815,1875,1154.7,true,0,1815,-1875,2097.48,2097.48,1815,1875,1155.1,true,0,1815,-1875
"2025-09-17T00:00:02Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,90.86,,,-1600,91.7,0,0,,,,,3630,-3750,0.665,1.435,,,,38,,,,,2,,,,27,26.9,27.7,26.4,34700,34500,34500,,,,-1604,59.9942,98,4961232,5420861,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159.4,-1552.44,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.409,3.379,3.39,28,25,25.334,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37144,0,0,0,0,0,0,0,0,0,700.303,2096.85,2096.85,1815,1875,1154.6,true,0,1815,-1875,2096.85,2096.85,1815,1875,1155,true,0,1815,-1875
"2025-09-17T00:00:04Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,90.59,,,-1600,90.59,0,0,,,,,3630,-3750,0.665,1.435,,,,38,,,,,2,,,,26.97,26.8,27.7,26.4,34700,34500,34500,,,,-1601,59.9982,97,4961232,5420862,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159.3,-1553.46,-1340,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.408,3.379,3.389,28,25,25.166,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37146,0,0,0,0,0,0,0,0,0,700.303,2099.37,2099.37,1815,1875,1154.5,true,0,1815,-1875,2099.37,2099.37,1815,1875,1154.9,true,0,1815,-1875
"2025-09-17T00:00:06Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,89.22,,,-1600,89.49,0,0,,,,,3630,-3750,0.665,1.435,,,,37,,,,,2,,,,26.97,26.8,27.7,26.4,34700,34600,34500,,,,-1602,60.0071,97,4961232,5420862,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159.2,-1552.17,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.408,3.379,3.389,28,25,25.5,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37148,0,0,0,0,0,0,0,0,0,700.303,2100.63,2100.63,1815,1875,1154.4,true,0,1815,-1875,2100.21,2100.21,1815,1875,1154.9,true,0,1815,-1875
"2025-09-17T00:00:08Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,86.73,,,-1600,87.28,0,0,,,,,3630,-3750,0.665,1.435,,,,37,,,,,2,,,,26.97,26.8,27.7,26.4,34700,34500,34500,,,,-1602,60.0019,95,4961232,5420863,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159.2,-1552.17,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.408,3.378,3.389,28,25,25.333,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37150,0,0,0,0,0,0,0,0,0,700.303,2098.74,2098.74,1815,1875,1154.4,true,0,1815,-1875,2098.74,2098.74,1815,1875,1154.8,true,0,1815,-1875
"2025-09-17T00:00:10Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,83.97,,,-1600,84.79,0,0,,,,,3630,-3750,0.665,1.435,,,,38,,,,,2,,,,26.97,26.8,27.7,26.4,34700,34500,34500,,,,-1602,60.006,93,4961232,5420865,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159.1,-1552.03,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.407,3.378,3.389,28,25,25.333,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37152,0,0,0,0,0,0,0,0,0,700.303,2100,2100,1815,1875,1154.3,true,0,1815,-1875,2100,2100,1815,1875,1154.7,true,0,1815,-1875
"2025-09-17T00:00:12Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,83.97,,,-1600,83.97,0,0,,,,,3630,-3750,0.665,1.435,,,,38,,,,,2,,,,26.97,26.8,27.7,26.4,34700,34500,34500,,,,-1603,60.0133,91,4961232,5420866,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159.1,-1552.03,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.407,3.378,3.389,28,25,25.166,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37154,0,0,0,0,0,0,0,0,0,700.303,2100.63,2100.63,1815,1875,1154.3,true,0,1815,-1875,2100.21,2100.21,1815,1875,1154.7,true,0,1815,-1875
"2025-09-17T00:00:14Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,83.97,,,-1600,83.97,0,0,,,,,3630,-3750,0.665,1.435,,,,38,,,,,2,,,,27,26.9,27.7,26.4,34700,34600,34500,,,,-1602,60.0279,91,4961232,5420866,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159,-1551.9,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.407,3.378,3.388,28,25,25.166,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37156,0,0,0,0,0,0,0,0,0,700.303,2099.79,2099.79,1815,1875,1154.2,true,0,1815,-1875,2099.79,2099.79,1815,1875,1154.6,true,0,1815,-1875
"2025-09-17T00:00:16Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1600,83.97,,,-1600,83.97,0,0,,,,,3630,-3750,0.665,1.435,,,,38,,,,,2,,,,27,26.9,27.7,26.4,34700,34500,34500,,,,-1604,60.0305,90,4961232,5420866,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1159,-1551.9,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.407,3.378,3.388,28,25,25.166,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1.1,1.1,999,999,999,999,999,999,999,999,3630,-3750,false,-800,-800,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37158,0,0,0,0,0,0,0,0,0,700.303,2101.05,2101.05,1815,1875,1154.2,true,0,1815,-1875,2101.05,2101.05,1815,1875,1154.6,true,0,1815,-1875
"2025-09-17T00:00:18Z","REV_TW1_U_01",0,true,2,1,0,0,0,0,0,-1400,81.16,,,-1400,82.01,0,0,,,,,3630,-3750,0.665,1.435,,,,37,,,,,2,,,,24.63,24.5,25.4,24,34700,34500,34500,,,,-1550,60.0318,93,4961232,5420869,,,,,,,12,0,0,0,0,0,0,0,0,,2,,1158.9,-1551.77,-1339,88.5,88.5,14528.16,14528.16,100,-3912,3912,-3750,3630,-4200,4200,0,0,0,0,0,0,,,3.407,3.378,3.388,28,25,25.333,,,48,48,48,false,false,false,2,2,6,6,0,342,4200,16416,1500,-1500,0,0,1,0.505,1,1,999,999,999,999,999,999,999,999,3630,-3750,false,-700,-700,2,1,0,0,0,1,2,1,1,0,0,8,1,0,0,-1437788,0,37160,0,0,0,0,0,0,0,0,0,700.303,2098.32,2098.32,1815,1875,1153.8,true,0,1815,-1875,2099.58,2099.58,1815,1875,1154.2,true,0,1815,-1875
